prefix,genotype,oc_density,m04_density,oc_mean_area,m04_mean_area,oc_std_area,m04_std_area,oc_objects,m04_objects,combined_density,combined_mean_area,combined_std_area,combined_objects
A_4_M04_OC_20x_A_4_M04_OC_SSCTX_220224_20x - A_4_M04_OC_20x.lif (default),APPPS1,0.000573007141478479,0.0003053524898668211,0.13097882045879028,0.23955582639312076,0.09390150420004797,0.12549390902291782,152,81,0.00013194243389307085,0.5054662379421222,0.25355055803359405,35
C_2_M04_OC_20x_C_2_M04_OC_HI_080124_20x - C_2_M04_OC_20x.lif (default),APPPS1xFIRE,0.00046392517814726844,0.0002530500971712373,0.09655157446993207,0.22786487919412257,0.0661482292272735,0.14689150037174054,99,54,0.000149955613138511,0.40940766550522645,0.24592244646728761,32
D_3_M04_OC_20x_D_3_M04_OC_HI_080124_20x - D_3_M04_OC_20x.lif (default),APPPS1xFIRE,0.000229619532618345,0.00020618896806545264,0.33660098747073136,0.271484375,0.23969332546576044,0.16171503775231053,49,44,0.00011246670985388325,0.3191084229390681,0.18236112024714016,24
H_3_M04_OC_20x_H_3_M04_OC_SSCTX_210224_20x - H_3_M04_OC_20x.lif,APPPS1,0.00010553154126705389,5.653475425020744e-05,0.10104252025858143,0.06757062146892655,0.11699375180112812,0.05592661046053815,28,15,7.5379672333609924e-06,0.06891891891891892,0.060810810810810814,2
D_4_M04_OC_20x_D_4_M04_OC_HI_090124_20x - D_4_M04_OC_20x.lif (default),APPPS1xFIRE,6.09194678375201e-05,5.154724201636316e-05,0.34496324671291023,0.15997181113460182,0.3061756863299202,0.09161177967062072,13,11,1.4058338731735406e-05,0.3786407766990291,0.12306248117690317,3
B_3_M04_OC_20x_B_3_M04_OC_HI_230224_20x - B_3_M04_OC_20x.lif (default),APPPS1,0.00016810310772215245,4.482749539257399e-05,0.2114855003490069,0.4524058577405857,0.20758835194240727,0.3089826960441619,30,8,3.922405846850224e-05,0.5038852361028093,0.29649268201769857,7
B_3_M04_OC_20x_B_3_M04_OC_SSCTX_230224_20x - B_3_M04_OC_20x.lif,APPPS1,0.00019516168439648286,9.135227780260899e-05,0.06594024201410793,0.5140136543298599,0.06486457963567124,0.2750232147578181,47,22,4.982851516505945e-05,0.5760869565217391,0.288285327522096,12
B_4_M04_OC_20x_B_4_M04_OC_SSCTX_230224_20x - B_4_M04_OC_20x.lif,APPPS1,0.000257759808697114,0.00021748483858818993,0.14324524176954734,0.04170117547912761,0.1223238890877602,0.03228132708870332,64,54,7.249494619606331e-05,0.14804469273743015,0.07008231713318572,18
C_2_M04_OC_20x_C_2_M04_OC_SSCTX_080124_20x - C_2_M04_OC_20x.lif,APPPS1xFIRE,0.0004326505116768317,0.00017576427036871287,0.13349374067969547,0.3434763434763435,0.09877746772144777,0.15070900300375045,96,39,0.00011717618024580859,0.4407814407814407,0.17184567424885033,26
D_3_M04_OC_20x_D_3_M04_OC_SSCTX_080124_20x - D_3_M04_OC_20x.lif,APPPS1xFIRE,0.0002742798860408058,0.00019861646920196283,0.14111774241084585,0.060798190193408194,0.12258871855802095,0.02446692287292656,87,63,0.00011034248288997933,0.17728367611636095,0.06773839824405853,35
A_4_M04_OC_20x_A_4_M04_OC_HI_220224_20x - A_4_M04_OC_20x.lif,APPPS1,0.0005378157587748422,0.0006274517185706493,0.13749196188471882,0.24308035714285717,0.08862561224275123,0.13808505837416066,96,112,0.000280112374361897,0.4413461538461538,0.20689270143713456,50
F_1_M04_OC_20x_F_1_M04_OC_SSCTX_090124_20x - F_1_M04_OC_20x.lif,APPPS1xFIRE,4.859190381135457e-05,2.9155142286812742e-05,0.1120807898108373,0.5974178403755868,0.10733292665970653,0.2056437174705882,15,9,6.478920508180609e-06,0.6599999999999999,0.24666666666666665,2
D_4_M04_OC_20x_D_4_M04_OC_SSCTX_090124_20x - D_4_M04_OC_20x.lif,APPPS1xFIRE,0.00013329063851233848,0.00015681251589686878,0.18611942221522343,0.1449397590361446,0.15607585785837624,0.12035722462055448,17,20,6.272500635874752e-05,0.2614457831325301,0.16707068657509125,8
C_1_M04_OC_20x_C_1_M04_OC_SSCTX_080124_20x - C_1_M04_OC_20x.lif,APPPS1xFIRE,0.00021864746187994595,0.00018094962362478285,0.081641634692271,0.13520456259426847,0.061185612120031575,0.08757444761081354,58,48,6.408632503377727e-05,0.5931550802139037,0.22828610814140854,17
C_1_M04_OC_20x_C_1_M04_OC_HI_080124_20x - C_1_M04_OC_20x.lif (default),APPPS1xFIRE,0.0001892634775529086,0.00014094088753940004,0.17946158443783083,0.2933747412008282,0.1283218799120805,0.1843662276317627,47,35,7.248388502026288e-05,0.4057071960297767,0.15835000981062078,18
H_1_M04_OC_20x_H_1_M04_OC_SSCTX_220224_20x - H_1_M04_OC_20x.lif (default),APPPS1,0.0010814633263458474,0.000515516197014601,0.18157541721257908,0.3866023448949683,0.10611204692942978,0.17538643777072965,193,92,0.00031939590467208967,0.5404271548436308,0.2223156041777349,57
H_3_M04_OC_20x_H_3_M04_OC_HI_210224_20x - H_3_M04_OC_20x.lif,APPPS1,0.00016717141987254434,2.786190331209072e-05,0.22279601623017334,0.32619863013698636,0.1612374705974745,0.17304478009624802,24,4,2.786190331209072e-05,0.32619863013698636,0.17304478009624802,4
F_1_M04_OC_20x_F_1_M04_OC_HI_090124_20x - F_1_M04_OC_20x.lif,APPPS1xFIRE,2.3430564552892344e-05,1.4058338731735406e-05,0.24236229415105054,0.17708333333333334,0.33270527176834813,0.19612677483086174,5,3,0.0,,,0
B_4_M04_OC_20x_B_4_M04_OC_HI_230224_20x - B_4_M04_OC_20x.lif (default),APPPS1,0.00027165355729288454,0.00015324046821649898,0.1211512717536814,0.11217323449083107,0.08989662175040916,0.06934724529011695,39,22,5.572380662418144e-05,0.4266409266409266,0.2765810382249024,8
B_2_M04_OC_20x_B_2_M04_OC_HI_220224_20x - B_2_M04_OC_20x.lif,APPPS1,0.000980601461712556,0.0005771540031793901,0.11936660561660561,0.4220762738752459,0.08771395996123572,0.22478798839087488,175,103,0.0003081890308239462,0.4373174366616989,0.24456266624164344,55
B_2_M04_OC_20x_B_2_M04_OC_SSCTX_220224_20x - B_2_M04_OC_20x.lif,APPPS1,0.001171761802458086,0.0005813741250657425,0.05787732675487778,0.21131447587354407,0.04230593240550689,0.12150265037428923,260,129,0.0003199811075943235,0.4836658841940532,0.24064052430220925,71
H_1_M04_OC_20x_H_1_M04_OC_HI_220224_20x - H_1_M04_OC_20x.lif,APPPS1,0.0004929977788769388,0.0003025213643108488,0.17238047706797707,0.07652989283699944,0.11371224038548139,0.03828869003367794,88,54,0.0001792719195916141,0.38528726708074534,0.16249526568674807,32
